name,director,color,duracion,industria,fecha,sinopsis,genero
Inception,Christopher Nolan,TRUE,148,hollywood,2010-07-16,"Un ladrón especializado en robar secretos a través del sueño es dado la tarea de implantar una idea en la mente de un CEO.",ficcion
The Dark Knight,Christopher Nolan,FALSE,152,hollywood,2008-07-18,"Batman debe enfrentarse al Joker, un criminal que quiere sumergir a Gotham en el caos.",accion
The Avengers,Joss Whedon,TRUE,143,hollywood,2012-04-26,"Un equipo de superhéroes se une para enfrentar una amenaza global.",accion
Forrest Gump,Robert Zemeckis,FALSE,142,hollywood,1994-07-06,"La historia de un hombre con un bajo coeficiente intelectual que vive una vida increíblemente llena de eventos históricos.",drama
Amélie,Jean-Pierre Jeunet,TRUE,122,europea,2001-04-25,"Una joven parisina decide mejorar la vida de las personas a su alrededor de manera anónima.",comedia
Avatar,James Cameron,TRUE,162,hollywood,2009-12-18,"Un ex-marine se infiltra en el pueblo de los Na'vi en Pandora mientras lucha por proteger los intereses de la humanidad.",ficcion
Gladiator,Ridley Scott,FALSE,155,hollywood,2000-05-05,"Un general romano se convierte en gladiador y busca vengarse del emperador que mató a su familia.",drama
La La Land,Damien Chazelle,TRUE,128,hollywood,2016-12-09,"Un músico y una actriz luchan por hacer realidad sus sueños en Los Ángeles mientras se enfrentan a la vida y el amor.",musical
The Godfather,Francis Ford Coppola,FALSE,175,hollywood,1972-03-24,"Un jefe mafioso y su familia se enfrentan a desafíos internos y externos mientras luchan por mantener su poder.",drama
The Matrix,Lana Wachowski,FALSE,136,hollywood,1999-03-31,"Un programador de computadoras descubre que la realidad en la que vive es una simulación creada por las máquinas.",ficcion
